081ff9bb table/code pointer (aligned) | 帕奇利兹：兹！
096003e3 table/code pointer (aligned) | 具有能够透视万物的双眼，可以\n找到躲藏在阴暗处的对手。
09600417 table/code pointer (aligned) | 如果汔浴到温暖的阳光，花苞就\n会打开，飞散出花粉。住在清澈\n的水边。
09600456 other unaligned pointer + table/code pointer (aligned) | 用甜甜的香气引诱猎物，并用双\n臂的毒刺鞭刺入或勒紧，以了结\n对方。
096004cc table/code pointer (aligned) | 反复使出头锤的头盖骨变得又硬\n又厚。但脑子比起头盖龙有所缩\n减
09600508 table/code pointer (aligned) | 脸部的皮肤坚硬，有磨蹭大树树\n干磨皮的习性。
09600532 table/code pointer (aligned) | 如果是从正面的话，可以防住所\n有的攻击，但从后方被袭的话就\n束手无策了。
09600576 table/code pointer (aligned) | 为了能挡住寒风，会用小树枝或\n落叶为材料，做成蓑衣覆盖身体\n。
096005b0 table/code pointer (aligned) | 雌性结草儿的进化形态，根据进\n化的地点，它的样子也不同。
096005e5 table/code pointer (aligned) | 没有固定的住处，会因为寻找喜\n欢的蜜，穿过山野一直飞。
09600618 table/code pointer (aligned) | 三只合而为一的宝可梦，会努力\n的搬运花朵的甜甜蜜。
09600648 table/code pointer (aligned) | 它的腹部就是幼蜂的蜂巢，幼蜂\n吃三蜜蜂收集的蜂蜜长大。\n
096006c3 table/code pointer (aligned) | 颈部的环状毛发可以鼓起可以像\n泳圈一样产生浮力，在水中时利\n用尾巴快速旋转向前移动。
09600714 table/code pointer (aligned) | 它可以很好的漂浮在水面上，会\n帮助溺水的人。
0960073e table/code pointer (aligned) | 进化所需要的营养储存在小小的\n球里，看起来非常的香甜可口。\n
09600777 table/code pointer (aligned) | 花苞汔浴阳光后，会绽开花瓣并\n活泼地动起来
096007a0 table/code pointer (aligned) | 岩岸是它主要的居所。根据栖息\n地的环境和食物的质地，颜色和\n样子会有所不同。
096007e8 table/code pointer (aligned) | 再生能力很高。即使被鱼宝可梦\n咬断，也会在几小时内恢复原状\n哦
09600823 table/code pointer (aligned) | 以庞大的群体进行行动。把尾巴\n紧紧连在一起做成环。就像是友\n情的证明。
09600865 table/code pointer (aligned) | 据说会牵着年幼孩子的手，将其\n带去另一个世界。不喜欢身体重\n的孩子
096008a4 table/code pointer (aligned) | 曾经发生过乘着随风球外出旅行\n的男人就这么行踪不明的事件。\n
096008de table/code pointer (aligned) | 如果猛地伸直总是卷成团的耳朵\n，连很大的岩石也能轻易破坏。\n
09600917 table/code pointer (aligned) | 戒备心很强。一旦感知到危险，\n就会轻巧地跳起来逃之丨丨。
0960094c table/code pointer (aligned) | 不知从何处出现，碎碎念着咒文\n，施加诅咒，制造恐怖的幻象。\n
096009be table/code pointer (aligned) | 一不称心，就会竖起爪子。但偶\n尔会从喉咙里发出声响来撒娇，\n这样的性格很受部分人喜爱。
09600a0f table/code pointer (aligned) | 即使是其他宝可梦的住所，如果\n感觉很舒服的话，就会赖着当做\n自己的住所
09600a52 table/code pointer (aligned) | 每次跳跃都会发出铃铃声。用高\n频率的叫声让对手失聪。
09600b11 table/code pointer (aligned) | 过去的人们相信，铜镜怪背上的\n花纹里蕴藏着神秘的力量。
09600b45 table/code pointer (aligned) | 从遥远的过去开始就作为能召唤\n雨云的宝可梦被供奉着。时不时\n会被埋入地下
09600b8b table/code pointer (aligned) | 很怕水，所以生活在干燥的地方\n。因为周围绿色很少，所以相当\n醒目。
09600bc8 table/code pointer (aligned) | 能完美地模仿对手的动作，趁对\n手迷惑的时候迅速逃走
09600bf9 table/code pointer (aligned) | 腹部的袋子里装着白色的圆形石\n头。如果关系变好，也可能会分\n给你哦。
09600c39 table/code pointer (aligned) | 通过发出与对手相同的叫声，让\n对方深信自己是同伴，从而免受\n袭击。
09600caf table/code pointer (aligned) | 生活在因地热而温暖的洞窟里。\n即便如此，一旦变冷就会和伙伴\n们紧紧挨在一起。
09600cf7 table/code pointer (aligned) | 偶尔蜕皮，鳞片会脱落。其成分\n中所含的药物成分可以让疲劳的\n身体活力四射。
09600d3d table/code pointer (aligned) | 以媛美喷气式飞机的高速来飞行\n。如果冲入鸟宝可梦的群体中，\n会就这么把整个群体都吞掉。
09600d8f table/code pointer (aligned) | 每天必须要吃和自重同等分量的\n食物。味道的好坏并不在意。
09600e00 table/code pointer (aligned) | 不仅仅是读取，还获得了操控波\n导的能力。也会被用于战斗。
09600e35 table/code pointer (aligned) | 在干燥的土地生活。是身体会分\n泌出沙粒而不是汗水的宝可梦。\n
09600e6e table/code pointer (aligned) | 嘴巴张得大大的，炖耀自己的强\n大。向上卷起大量的沙子进行攻\n击。
09600eaa table/code pointer (aligned) | 用尾巴上的钩爪夹住猎物并注入\n毒素。很执着，毒不发作就绝不\n松开。
09600ee8 table/code pointer (aligned) | 用引以为傲的力量把对手打得七\n零八落，而且还要用剧毒给对手\n致命一击。
09600f2b table/code pointer (aligned) | 脸颊上带有毒囊。会抓住对手的\n空当，用渗透了剧毒的手指猛戳\n。
09600f65 table/code pointer (aligned) | 喉咙里带有毒囊。如果从喉咙发\n出声响，储存的毒素会被炼制得\n更强劲。
09600fe4 table/code pointer (aligned) | 粉红色的那部分皮肤会储存太阳\n光并发光。听说是用来做保护色\n的。
09601021 table/code pointer (aligned) | 利用光来诱惑猎物靠近，但是作\n为天敌的凶猛鱼宝可梦也靠了过\n来。
0960105e table/code pointer (aligned) | 背上的花纹根据地域而有所不同\n。常常混在铁炮鱼群里。
09601090 table/code pointer (aligned) | 在寒冷的季节里，会迁移到山脚\n下，一到春天就会返回积雪残留\n的山顶。
096010d0 table/code pointer (aligned) | 会引发暴风雪，让周围变得一片\n雪白。别名叫冰雪怪物。
09601180 table/code pointer (aligned) | 不断伸出的舌头会卷住任何东西\n。一不留神靠近的话，就会被唾\n液弄得稞糊糊的。
096011c8 table/code pointer (aligned) | 从手掌的洞里发射出小拳石。全\n身的护具连火山喷发都能经受住\n。
09601203 table/code pointer (aligned) | 伸出由植物的藤蔓长成的手臂缠\n住猎物。即便手臂被吃掉也毫不\n在意。
09601242 table/code pointer (aligned) | 用尾巴尖尖按住敌人，输入高压\n电流。敌人瞬间就成黑炭了
09601276 table/code pointer (aligned) | 栖息在火山口。据说一座火山只\n有一对鸭嘴炎兽。
096012dd table/code pointer (aligned) | 高速飞行着，在擦肩而过的瞬间\n咬断对手的脖子。它热衷这样的\n战斗方式。
0960131f table/code pointer (aligned) | 比起动物，细胞构成更接近植物\n。用光合作用，就算不吃也能获\n得能量。
0960135e table/code pointer (aligned) | 自由地控制体温，让大气中的水\n分冻结，卷起冰晶。
0960138b table/code pointer (aligned) | 用尾巴倒挂在树枝上观察猎物。\n瞅准空当就从上空发动袭击。
096013ff table/code pointer (aligned) | 以更优秀的宝可梦为目标，好像\n新追加的程序状况不佳，动作很\n奇怪。
0960143d table/code pointer (aligned) | 因为有着能敏锐感知对手想法的\n能力，所以可以率先攻击。
09601471 table/code pointer (aligned) | 因为会释放强大的磁力，所以导\n致附近的电器都变得无法使用。\n
096014ed table/code pointer (aligned) | 用冷气把中意的人类或宝可梦都\n冻起来。然后带回巢穴当装饰用\n。
09601528 table/code pointer (aligned) | 作为驱动特殊马达的动力能源而\n被长期研究的宝可梦。
09601559 table/code pointer (aligned) | 被称为知识之神。据说拥有消除\n与之目光交会者的记忆的力量。\n
09601592 table/code pointer (aligned) | 教会了人们悲伤的痛苦和快乐的\n宝贵。被称为感情之神。
096015c4 table/code pointer (aligned) | 被称为意志之神。一直沉睡在湖\n底，维持着世界的平衡
096015f4 table/code pointer (aligned) | 由于帝牙卢卡的诞生，时间才开\n始流动。是有着这样传说的宝可\n梦
0960162f table/code pointer (aligned) | 据说居住在平行排列的空间狭缝\n中，是出现在神话中的宝可梦。\n
09601668 table/code pointer (aligned) | 栖息在火山的洞穴里。用十字形\n的爪子钩住墙壁和洞顶爬来爬去\n
096016a2 table/code pointer (aligned) | 据说用特殊的冰山，岩石和熔岩\n制作出了形似自己的宝可梦
096016d7 table/code pointer (aligned) | 据说栖息在位于这个世界背面的\n毁坏的世界里。那里所有的常规\n都与这个世界不同
09601721 table/code pointer (aligned) | 飞行的时候，会从薄纱一样的翅\n膀中发出闪光粒子。被称为新月\n的化身
09601760 table/code pointer (aligned) | 如果海水的温度上升，该宝可梦\n就会让头部的浮囊膨胀起来，然\n后集体在海面上漂浮
096017ab table/code pointer (aligned) | 如果使用与生俱来的神奇力量，\n就可以和任何宝可梦心意相通。\n
096017e4 table/code pointer (aligned) | 用能引诱对方进入深度睡眠的力\n量，让人和宝可梦做恶梦，并将\n其驱逐出自己的领地。
09601830 table/code pointer (aligned) | 拥有分解大气中的毒素，让荒芜\n大地瞬间变成花圃的力量。
09601864 table/code pointer (aligned) | 神奥神话里说，它从蛋中现身，\n并创造出了整个世界。
09601893 table/code pointer (aligned) | 是会带来胜利的宝可梦。据说带\n着比克提尼的训练家会赢得任何\n对战。
096018d2 table/code pointer (aligned) | 如果汔浴在阳光下，就能比平时\n动作迅速。比起手，藤蔓用得更\n灵活。
0960190f table/code pointer (aligned) | 像滑行一样在地面奔跑。用敏捷\n的动作迷惑敌人，然后用藤鞭了\n结。
0960194b table/code pointer (aligned) | 君主蛇只会对那些即使被它高贵\n的眼眢盯着，也毫不畏惧的强大\n对手动真格。
09601990 table/code pointer (aligned) | 可以轻巧地躲避敌人的攻击，从\n鼻子里射出火球来。会用火烤树\n果吃。
096019ce table/code pointer (aligned) | 吃得越多，可供燃烧的东西就越\n多，胃里的火会增强，力量也会\n源源不断地溢出
09601a14 table/code pointer (aligned) | 用下颉的火焰燃烧拳头，连续使\n出火焰拳。是对伙伴非常体贴的\n宝可梦。
09601a54 table/code pointer (aligned) | 腹部长出的扇贝贝不只是战斗时\n使用，还能用来割开坚硬的树果\n。
09601ac4 table/code pointer (aligned) | 能在敌人眨眼的瞬间，用前脚上\n带有的双足刃切斩对手，然后将\n其收回。
09601b04 table/code pointer (aligned) | 会在颊囊里藏食物，连续放哨好\n几天。用尾巴给伙伴发出暗号。\n
09601b3c table/code pointer (aligned) | 用体内的发光物质让眼珠和身体\n闪闪发光，使来袭的敌人畏缩。\n
09601b75 table/code pointer (aligned) | 因为不会汪汪汪地叫个不停，所\n以对于住在公寓里的训练家是人\n气很高的宝可梦。
09601bbe table/code pointer (aligned) | 黑色的体毛非常坚硬，会不断长\n出。是要花修剪费，很费事的宝\n可梦。
09601bfb table/code pointer (aligned) | 聪明温厚而勇敢。是救援队队员\n们可以信赖的伙伴。
09601c29 table/code pointer (aligned) | 用可爱的动作让对手疏忽，抓住\n那个空当抢夺持有物。一旦生气\n，就会竖起爪子反击。
09601c74 table/code pointer (aligned) | 优美的身姿归功于全身发达的肌\n肉。能悄无声息地在夜间飞奔。\n
09601cad table/code pointer (aligned) | 会把头上的叶子分给没有精神的\n宝可梦。具有缓解疲劳的效果。\n
09601ce6 table/code pointer (aligned) | 用带有很多尖刺的尾巴摔打对手\n进行攻击。是性格很粗暴的宝可\n梦。
09601d23 table/code pointer (aligned) | 智商很高，有着将树果烤熟后再\n吃的习性。很喜爱给人类帮忙。\n
09601d5b table/code pointer (aligned) | 燃烧体内的火焰，从头和尾巴纷\n纷扬扬地撒出火花，把敌人都烧\n焦。
09601d97 table/code pointer (aligned) | 头上的毛发丛里储藏的水充满了\n营养。会用尾巴给草木浇这种水\n。
09601e06 table/code pointer (aligned) | 会出现在为恶梦所苦的宝可梦和\n人的面前，吃掉那个恶梦。
09601e3a table/code pointer (aligned) | 从额头冒出的烟雾里载满许许多\n多的人和宝可梦做的梦。
09601e6d table/code pointer (aligned) | 非常健忘的宝可梦。明明训练家\n已经下了命令，却还在等待着新\n命令。
09601eab table/code pointer (aligned) | 人们相信，咕咕鸽所居住的森林\n深处有着没有战争的和平国度。\n
09601ee4 table/code pointer (aligned) | 雄性会摇晃头上的冠羽威吓对手\n。雌性的飞行能力在雄性之上。\n
09601f1d table/code pointer (aligned) | 天空雷雨云密布时就会出现。用\n鬃毛捕捉雷电，储存电力。
09601f50 table/code pointer (aligned) | 性格粗暴的宝可梦。如果发脾气\n，就会从鬃毛里向着四面八方放\n电。
09601f8c table/code pointer (aligned) | 在地下的最深处诞生。会与亲缘\n相近的小拳石和小碎钻较量硬度\n。
09602001 table/code pointer (aligned) | 从太阳光线中造出来的能量弹威\n力巨大。但是晚上和雨天无法射\n击。
0960203e table/code pointer (aligned) | 生活在昏暗的森林和洞穴中。从\n鼻孔里发出超音波探查周边的情\n形。
0960207b table/code pointer (aligned) | 发出连混凝土都能破坏的强力超\n音波时，尾巴会激烈地振动。
096020b1 table/code pointer (aligned) | 将双掌上的爪子并拢，并让身体\n高速旋转的话，就会以迅猛的速\n度在地里前进。
096020f7 table/code pointer (aligned) | 进化成钢的钻头拥有穿透铁板的\n破坏力。在隧道工程里非常活跃\n。
09602132 table/code pointer (aligned) | 通过耳朵上的触角，能了解对方\n的身体状况，甚至连宝可梦何时\n从蛋里孵出来都能知道。
09602180 table/code pointer (aligned) | 总是抱着方材。是会出现在建筑\n工地帮忙干活的宝可梦。
09602220 table/code pointer (aligned) | 振动脸颊上的振动膜，发出人类\n无法听见的音波向伙伴们传递危\n险警告。
09602261 table/code pointer (aligned) | 如果让头上的瘤振动，不只是水\n里泛起波浪，连地面也会像地震\n一样摇晃。
096022a3 table/code pointer (aligned) | 如果让拳头上的瘤振动，拳击的\n威力就会倍增。能一拳把巨大岩\n石击得粉碎。
096022e7 table/code pointer (aligned) | 如果系紧带子，力量就会提升。\n野生的投摔鬼会编织藤蔓做成自\n己的带子。
09602329 table/code pointer (aligned) | 因追求最强的空手劈而隐居在深\n山里，不眠不休地修行。
0960235b table/code pointer (aligned) | 咬断叶子，用嘴里吐出的粘丝进\n行缝合。是会自己做衣服的宝可\n梦。
09602397 table/code pointer (aligned) | 宝包茧会把落叶转换成养分，所\n以它居住的森林总是草木繁茂。\n
096023d0 table/code pointer (aligned) | 如果发现幼小的宝可梦，就会用\n嘴里吐出的粘丝为它缝制叶子衣\n服。
0960240d table/code pointer (aligned) | 用头和尾巴上的触角探查周围的\n情形。性格非常粗暴。
0960243d table/code pointer (aligned) | 被坚硬的壳保护着。像轮胎那样\n地旋转，猛烈地撞击敌人。
09602470 table/code pointer (aligned) | 用颈部的爪子夹住猎物，让对方\n动弹不得之后，施以剧毒，一击\n毙命。
096024ad table/code pointer (aligned) | 找到伙伴后就会贴上去。贴得太\n多的话，有时候看上去就像积雨\n云。
096024e9 table/code pointer (aligned) | 乘着风侵入民居。把房间里弄得\n满是棉花后，咯咯咯地笑着离去\n。
09602523 table/code pointer (aligned) | 头上的叶子苦得让人头晕眼花，\n但是对疲惫的身体很有效果。如\n果煎服饮用会更有效。
0960256f table/code pointer (aligned) | 无论花多少工夫和金钱，比起借\n助人工手段让它开放，在野外绽\n放的花更美。
096025b3 table/code pointer (aligned) | 性格非常粗暴，红色和蓝色的野\n蛮鱿鱼一直都在争斗。吃起来好\n像出乎意料的鲜美。
096025fd table/code pointer (aligned) | 潜藏在沙中像游泳一样移动。是\n为了不被敌人发现和不让体温下\n降而采取的机智行为。
096026b8 table/code pointer (aligned) | 火红不倒翁的粪便是热的，因此\n过去的人们会放入怀中取暖。
096026ee table/code pointer (aligned) | 如果在激烈的战斗中受伤，就会\n像岩石一样一动不动，沉思着磨\n炼自己的心智。
09602734 table/code pointer (aligned) | 对于那些以花的种子为目标的天\n敌鸟宝可梦，会用节奏轻快的舞\n蹈和音乐来驱赶。
0960277d table/code pointer (aligned) | 在合适的石头上开洞作为住所。\n如果被破坏，在找到替代的石头\n之前会一直心里不踏实。
096027cb table/code pointer (aligned) | 脚力非常的好，身上背负着很重\n的岩石，还能在干燥的土地上移\n动多日。
0960280b table/code pointer (aligned) | 把皮拉到颈部，摆出防御的姿势\n。橡胶般有弹力的皮能减少伤害\n。
0960288c table/code pointer (aligned) | 曾是古代都市的守护神。用精神\n力量攻击入侵领地的敌人。
096028fd table/code pointer (aligned) | 有传言说，它会吞掉接近它的人\n类，做成木乃伊。喜欢吃金块。\n
0960296f table/code pointer (aligned) | 为了形成结实的甲壳，会把猎物\n的硬壳和骨头都整个嚼碎了吃下\n去。
096029ac table/code pointer (aligned) | 是所有鸟宝可梦的祖先。始祖小\n鸟本身还不会飞，在树上跳着移\n动。
09602a22 table/code pointer (aligned) | 喜欢不卫生的场所。在阿罗拉经\n常可以发现被臭泥追着到处跑的\n样子。
09602a61 table/code pointer (aligned) | 要注意从右臂喷出的毒液。只要\n沾到一点点，就会被未知的毒素\n侵袭。
09602a9f table/code pointer (aligned) | 经常幻化成和对手一模一样的外\n表，趁对方受骗惊吓的空当逃之\n丨丨。
09602ade table/code pointer (aligned) | 拥有一下子迷惑许多人的力量。\n展现出虚幻的景色来保护自己的\n住所。
09602b1d table/code pointer (aligned) | 泡沫栗鼠会互相用尾巴将对方清\n理得干干净净，这是它们彼此打\n招呼的方式。
09602b62 table/code pointer (aligned) | 白色的体毛触感超群。完全不会\n吸附到灰尘和静电。
09602b90 table/code pointer (aligned) | 用蝴蝶结一样的触角让精神力量\n增强。一直都目不转睛地盯着什\n么。
09602bcd table/code pointer (aligned) | 星光是其力量的来源。到了夜里\n就会用精神力量让石头浮起，按\n星星的分布排列。
09602c15 table/code pointer (aligned) | 受强大的精神力量的影响，周围\n的空间会扭曲，数万光年之外的\n星空也能映照出来。
09602c5f table/code pointer (aligned) | 身体被特殊的液体包裹着，所以\n无论多么严峻的情况都能平安无\n事。
09602c9c table/code pointer (aligned) | 因为有着一分为二的大脑，所以\n有时会突然采取不同的行动。
09602cd2 table/code pointer (aligned) | 使用发出的精神力量，操纵特殊\n液体做成的手臂将岩石击碎。
09602d08 table/code pointer (aligned) | 如果被敌人袭击，就会从全身的\n羽毛里喷出水花。混在一片水雾\n中逃之丨丨。
09602d4c table/code pointer (aligned) | 尽管有着优雅的外表，挥动翅膀\n时却很用力，可以连续飞行几千\n公里。
09602d8a table/code pointer (aligned) | 从冰柱中诞生的宝可梦。用冰冷\n的气息制造雪的结晶，让天上下\n雪。
09602dc6 table/code pointer (aligned) | 在炎热的天气里身体会融化。如\n果让它冻住就会恢复原状，但身\n体的形状会稍稍歪掉。
09602e13 table/code pointer (aligned) | 个头拥有各自的大脑，如果两\n者意见一致，就会喷出猛烈的暴\n风雪袭击敌人。
09602e57 table/code pointer (aligned) | 不只是换季时，即使是气温和湿\n度的变化，身体颜色也会有稍稍\n改变。
09602e95 table/code pointer (aligned) | 会根据季节改变住所。人们会通\n过萌芽鹿的角来感知季节的变迁\n。
09602ed0 table/code pointer (aligned) | 用斗篷一样的膜滑翔。到处放电\n，让敌人和同伴都纷纷触电。
09602f05 table/code pointer (aligned) | 与小嘴蜗在一起时，如果受到电\n的刺激就会进化的神奇宝可梦。\n
09602f80 table/code pointer (aligned) | 以酷似精灵球的花纹引诱对手并\n向其喷出毒孚子。为何那么像还\n是一个谜。
09602fc3 table/code pointer (aligned) | 显摆着精灵球状的菌伞引诱猎物\n靠近，但是被骗到的宝可梦很少\n。
09603033 table/code pointer (aligned) | 身体几乎都是海水。据说，海底\n有胖喔喔弄沉的船做成的城堡。\n
0960306b table/code pointer (aligned) | 抱着受伤的宝可梦，用特殊的粘\n液敷伤口。但其中的理由不太清\n楚。
096030a7 table/code pointer (aligned) | 因为自己不能制造电，所以会附\n在其它大型宝可梦身上吸取静电\n。
096030e2 table/code pointer (aligned) | 会用带电的丝设下陷卩。会慢慢\n地享用触电后无法动弹的猎物。\n
0960311b table/code pointer (aligned) | 察觉到危险的同时会发射尖刺反\n击。然后趁机翻滚着逃跑。
096031ab table/code pointer (aligned) | 通过改变旋转的方向来向伙伴传\n递感情。越是生气，旋转得就越\n快。
096031e7 table/code pointer (aligned) | 让带有红色核心的齿轮高速旋转\n，便能快速填充能量。
09603218 table/code pointer (aligned) | 条的电力虽小，但是许多麻麻\n小鱼聚在一起，其威力可以比得\n上雷电。
09603256 table/code pointer (aligned) | 缠住对手，从圆圆的斑点放出电\n流通过对方身体，使其麻痹后啃\n食。
09603292 table/code pointer (aligned) | 用吸盘一样的嘴巴吸住猎物，并\n从刺入的牙齿中释放电流，使对\n方触电。
096032d2 table/code pointer (aligned) | 操纵强劲的精神力量。用精神力\n量勒住对手的大脑，引起头痛。\n
0960330a table/code pointer (aligned) | 好像是通过指尖闪烁来交流，但\n目前还无法解读这种交流方式。\n
09603343 table/code pointer (aligned) | 假装点亮烛光，指引道路，实际\n上是在吸取对方的生命力。
09603376 table/code pointer (aligned) | 吸取灵魂来点亮灯火。为了等待\n人类死去，而在医院里嶝徉游荡\n。
096033b0 table/code pointer (aligned) | 如果被水晶灯火灵的火焰包围，\n魂魄就会被吸取燃烧。只剩下行\n尸走肉。
0960342c table/code pointer (aligned) | 拥有能粉碎巨大岩石的牙齿。争\n夺领地的斧牙龙们会进行非常激\n烈的争斗。
0960346f table/code pointer (aligned) | 性格温和，但对于入侵领地者绝\n不会手软。会用削铁如泥的牙齿\n发起挑战。
096034b1 table/code pointer (aligned) | 总是流着鼻涕。吸着鼻涕使出招\n式。鼻涕是招式的本源。
096034e2 table/code pointer (aligned) | 喜欢北方冰冷的大海。将嘴里吐\n出的气息冻结，在海上铺成道路\n来行走。
09603522 table/code pointer (aligned) | 在雪云之中诞生。用冰的结晶所\n形成的锁捕捉猎物。
09603550 table/code pointer (aligned) | 与盖盖虫在一起时，如果受到电\n的刺激，双方的身体就会进化。\n
09603588 table/code pointer (aligned) | 因为脱掉了沉重的壳，而变得轻\n巧。会用简直是忍者般的身手战\n斗。
096035c4 table/code pointer (aligned) | 皮肤坚硬，所以即使被相扑力士\n踩踏也照样淡定自如。释放电流\n时，会喜笑颜开。
0960360b table/code pointer (aligned) | 以使出招式的速度自豪。即便力\n量很弱，也能以出招次数弥补。\n
09603643 table/code pointer (aligned) | 手臂上的体毛运用得像鞭子一样\n灵活。双臂的攻击速度快到迅雷\n不及掩耳。
09603686 table/code pointer (aligned) | 在狭小的洞穴里来回奔走，用锋\n利的爪子捕获猎物。脸上的皮肤\n比岩石还硬。
096036ca table/code pointer (aligned) | 因体内燃烧的能量而活动着。但\n究竟是何种能量尚且不明。
0960372e table/code pointer (aligned) | 全身都是刀的宝可梦。如果在战\n斗中损伤了刀刃，就会用河滩的\n石头打磨。
09603770 table/code pointer (aligned) | 让数只驹刀小兵战斗，将受伤无\n法动弹的猎物一劈为二的恐怖宝\n可梦。
096037af table/code pointer (aligned) | 一往无前地猛冲，使出头锤。拥\n有让奔跑的列车脱轨的破坏力。\n
096037e7 table/code pointer (aligned) | 会不由分说挑起战斗。随着每次\n被打倒，每次受伤，成长得更强\n更壮。
09603824 table/code pointer (aligned) | 为了伙伴的话，无论受多重的伤\n都不会放弃战斗，是勇敢的天空\n战士。
09603862 table/code pointer (aligned) | 保护着软乎乎屁股的是吃完的猎\n物的尸骨。会随着每次生长丢弃\n更换哦。
096038df table/code pointer (aligned) | 用高温燃烧的火焰舌头熔化铁蚁\n的钢铁身体，并吃掉其内部。
09603915 table/code pointer (aligned) | 面对天敌熔蚁兽时，大家会分工\n合作进行反击，把它从巢穴中驱\n赶出去。
09603955 table/code pointer (aligned) | 因为眼睛看不见，所以会又撞又\n咬地来探索周围。浑身新伤不断\n。
09603990 table/code pointer (aligned) | 个头之间关系恶劣，都想比对\n方吃得更多来学会主导权。
096039f7 table/code pointer (aligned) | 据说是从太阳中诞生出来的。进\n化时，会用从角喷出的火焰包裹\n住全身。
09603a6e table/code pointer (aligned) | 拥有钢铁的身体和心灵。只要瞪\n一眼，连粗暴的宝可梦也会俯首\n称臣。
09603aac table/code pointer (aligned) | 拥有一击冲破巨大城墙的猛撞力\n。是传说中所描述的宝可梦。
09603ae2 table/code pointer (aligned) | 头上的角是锋利的刀刃。用旋风\n般的动作戏弄敌人，迅速切斩。\n
09603b54 table/code pointer (aligned) | 用尾巴上的尖刺射电攻击。在合\n众地区的天空飞来飞去制造雷电\n。
09603b8f table/code pointer (aligned) | 用火焰让世界燃烧殆尽的传说的\n宝可梦。会帮助构筑真实世界的\n人。
09603bcc table/code pointer (aligned) | 用闪电让世界燃烧殆尽的传说的\n宝可梦。会辅佐创造理想世界的\n人。
09603c09 table/code pointer (aligned) | 土地云造访的土地，作物收成必\n定大好，因此被称为农田之神。\n
09603c41 table/code pointer (aligned) | 等待着用真实与理想填补自己失\n去的身体的英雄，是冰之传说的\n宝可梦。
09603c82 table/code pointer (aligned) | 在江河湖海的水面奔跑，驰骋全\n世界。会出现在美丽的水边。
09603cb7 table/code pointer (aligned) | 美洛耶塔演奏的旋律拥有让周围\n的宝可梦或悲或喜的力量。
09603cec table/code pointer (aligned) | 被等离子队改造过的古代的虫宝\n可梦。背上的大炮力量得到了提\n升。
09603d29 table/code pointer (aligned) | 头部的刺平时很柔软，如果注入\n了力量，就会变尖锐，硬得连岩\n石也能刺穿。
09603d6c table/code pointer (aligned) | 覆盖着身体的结实外壳能反弹敌\n人的攻击，会用锐利的刺反击。\n
09603e2e table/code pointer (aligned) | 尾巴上插着树枝。通过尾巴上的\n毛摩擦生热，点燃树枝来战斗。\n
09603e66 table/code pointer (aligned) | 盯着木杖前端燃烧着的火焰，集\n中精神的话，就能看透未来发生\n之事。
09603ea4 table/code pointer (aligned) | 从胸部和背部发出泡泡。用具有\n弹力的泡泡抵挡攻击，减少伤害\n。
09603f24 table/code pointer (aligned) | 压缩水，制造出手里剑。让它高\n速旋转后飞出的话，连金属也能\n一劈两半。
09603f65 table/code pointer (aligned) | 用大大的耳朵挖掘地面制造巢穴\n。可以整晚不休息连续不停地挖\n。
09603fe2 table/code pointer (aligned) | 非常容易和人亲近的性格。通过\n美妙婉转的叫声以及挥动尾羽的\n动作向伙伴传递信号。
0960402f table/code pointer (aligned) | 从鸟嘴里喷出火花，将草丛烧焦\n，捕捉因受惊而蹿出的猎物。
09604064 table/code pointer (aligned) | 因激烈的战斗而兴奋的话，会从\n全身的羽毛缝隙里喷出火花飞行\n。
0960409f table/code pointer (aligned) | 如果被鸟宝可梦袭击，就会挥撒\n黑色的粉。是一旦接触就会麻痹\n的毒粉。
096040df table/code pointer (aligned) | 隐藏在繁茂的树荫中生活。一旦\n被敌人袭击，就会尖尖地竖起体\n毛威吓对方。
09604123 table/code pointer (aligned) | 世界上有着各种各样翅膀花纹的\n彩粉蝶。好像是受所居住土地的\n气候影响。
09604166 table/code pointer (aligned) | 面对的对手越强大，鬃毛的温度\n就变得越高，全身都充满了力量\n。
096041a0 table/code pointer (aligned) | 群体中，拥有最大火焰鬃毛的雄\n性会作为首领率领着伙伴。
096041d4 table/code pointer (aligned) | 引导出花朵蕴藏的力量，自由地\n操纵。花蓁蓁拿着的花几乎已成\n为了身体的一部分。
0960421e table/code pointer (aligned) | 在花圃里飞来飞去，照料快要枯\n萎的花朵。能引导出花朵蕴藏的\n力量战斗。
09604260 other unaligned pointer + table/code pointer (aligned) | 领地是漂亮的花园。汔浴着花草\n释放的能量，作为自己的力量。\n
09604298 table/code pointer (aligned) | 据说是最早能够和人一起生活的\n宝可梦。性格很温和。
096042c8 table/code pointer (aligned) | 从握角的细微差异就能读取训练\n家的心情，所以会心灵一体奔跑\n。
09604303 other unaligned pointer + table/code pointer (aligned) | 为了不被敌人轻视而努力瞪眼，\n但收效甚微。叼着的叶子是它的\n独特特征。
09604345 table/code pointer (aligned) | 性格暴躁，很冲动，但不容许欺\n负弱小。会用叶子洞悉敌人的动\n向。
09604380 table/code pointer (aligned) | 如果修剪好乱蓬蓬的体毛，不只\n是样子变美，身体也会变得更敏\n捷。
096043bc table/code pointer (aligned) | 为了不让强大的精神力量漏出，\n用耳朵捂住释放力量的器官。
